Am/E,9,3,64,
Dm7,10,3,62,
Dm7,10,3,57,
Dm7,10,4,57,
Dm7/C,10,5,-1,
G,11,3,59,
G,11,4,59,
G,11,3,59,
G,11,4,59,
C,11,3,60,
C,11,3,62,
G7,12,5,62,
G7,12,3,64,
G7,12,3,67,
G7,12,3,67,
G7,12,2,64,
G7,12,2,62,
C,13,3,-1,
C,13,3,55,
C,13,3,55,
C,13,3,55,
C,13,4,55,
C,13,3,59,
C,13,3,59,
F,14,4,57,
F,14,4,-1,
F,14,2,-1,
C,15,3,-1,
C,15,3,55,
C,15,3,55,
C,15,3,55,
C,15,3,55,
C,15,4,59,
C,15,3,59,
F,16,4,57,
F,16,4,-1,
F,16,2,-1,
G,1,5,-1,MONTE CASTELO
G,1,4,-1,
G,1,4,53,
C,2,4,52,
F,2,5,55,
F,2,3,45,
F,2,3,48,
G,3,3,47,
G,3,2,47,
G,3,2,48,
G,3,3,48,
G,3,3,50,
C,3,3,52,
C,3,2,52,
C,3,2,53,
C,3,3,53,
C,3,3,55,
F,4,4,59,
F,4,5,60,
F,4,3,45,
F,4,3,48,
G,5,3,47,
G,5,2,47,
G,5,2,48,
G,5,3,48,
G,5,3,50,
C,5,3,52,
C,5,2,52,
C,5,2,53,
C,5,3,53,
C,5,3,55,
F,6,4,55,
F,6,5,57,
F,6,3,57,
F,6,3,52,
G,7,5,50,
G,7,4,50,
